c1,f1,f1x,c2,f2,f2x,f3,f4,f5,f6,limit
C,53.56469303776839,7.558755590791587,X,28.600708249386326,2.6498800209833173,18.799300488373763,23.43531190212094,22.39797853438799,10.592407240821725,27.85563366026662
A,41.26708219847688,5.782809320278808,Y,21.610168917387895,2.9919257341630376,19.651199731773495,21.580729906971047,26.542729734591333,11.606069962778614,25.919971934765215
C,44.647425500775924,3.3319242997137097,X,26.574066344360784,2.8934373554806663,11.239690741965061,19.486252069028176,25.23692197098228,6.984141883108304,32.00264466421113
B,52.905624457419684,7.400983426545925,Y,39.77927131354811,3.4949198316362216,14.611307095548385,20.98108374539744,21.451889424120264,6.137125558515172,24.77719545079735
B,32.06213106838694,5.548736790664216,Y,41.945915068049864,3.695062833423448,11.925119253303981,15.969287122959955,21.77882336250355,8.924581761294327,21.84935531249268
A,66.27110350547937,2.680974398336326,X,28.88875432979024,2.0905725342732433,16.915506263446353,20.304557504669596,26.57148227019108,12.1703151659256,33.049751889167894
B,50.54051912475991,6.816761176616913,Y,33.9057693929798,4.304749275906797,11.011266016603768,21.25756847241481,26.08324061924476,6.861699119539891,32.08306882021974
A,38.804897481195994,2.0726313407006414,Y,26.129662234991404,2.3256794260345828,11.760565574968538,18.03622963952482,26.63934767835061,14.926072185764562,15.835709943293654
A,44.67332164597305,5.430436000047052,Y,28.562686381942736,3.1992675642430375,15.2163218468373,15.393640232829792,27.502986628549174,12.622416023391553,32.04871832933744
C,53.29520635521566,3.769798125617612,Y,29.55057730966888,2.7684542457126224,17.75880447251456,17.196681886612673,24.0408942238174,8.993622223870227,28.464472247909825
A,54.77410233588381,3.5403007336688126,X,31.961140394069407,3.4546210262515316,11.239839142210569,19.098715369936567,28.749518687949504,11.994159759757515,31.169970979570476
A,50.433466760403086,4.080040835292719,Y,26.423359995128852,2.96084492478824,15.729554984286054,19.69669840803892,29.26106553960534,14.299925941171246,26.829886047380093
C,54.46448528472491,4.524453927671377,X,20.231226215717502,1.8610090948856437,19.268141165568224,18.461204722416923,28.918309633626514,14.994260743348768,28.60164484066821
B,34.62161120819811,3.176139027876391,Y,20.04998464551032,2.879964652628544,12.289105143241443,19.995166856024987,20.38559144057043,6.034503546613529,26.529133956531734
B,31.0401417452266,5.627629898243467,Y,32.410760316839216,2.594365324825281,11.02060910258647,17.26778827973576,20.82102582655476,7.194436000381698,23.8602430922812
A,58.138015664563284,7.532116043799757,X,34.512890022188465,3.111267124985717,13.747180456842923,23.715405951183563,23.423757997403918,11.779434169403979,30.271756555432646
B,51.183216456908816,4.93360420346269,Y,28.814488463490612,2.6708663599756117,17.15973528242587,24.935225864792148,21.50723505290798,7.4237044429712356,27.44514591733836
A,39.83651466070611,6.535845831187043,X,29.412504851871354,2.944082148875918,13.019161726155705,15.251371594733923,25.193275241100594,5.50955718530162,30.516681269946957
A,58.238144182288465,4.481857568594787,X,35.23160504364358,2.0014163182193183,18.84795018585439,24.053651543276352,25.63057618912629,11.800333749664123,29.24470955968993
A,51.34867949578454,3.420921566922954,Y,25.22440811045054,3.1360063727365355,14.460491360003887,23.308034415615055,26.91582180941386,7.343455835399332,23.920228072024027
C,49.188688965096915,2.005874065019461,X,39.44265370928867,4.549159934549102,19.73846006478825,23.010879840717756,22.410161762989343,6.6759338648904585,39.007982622834156
B,73.43422419008601,3.9972591920004135,Y,34.23006288869784,3.7022830742819446,12.832291871973744,19.509862790166956,28.27699754966941,8.586666133641398,37.528850152548394
C,45.75943477451936,5.475991540209744,X,28.96448433827241,3.917872939482486,16.356286907889377,17.525486096358872,23.27235468398782,10.000943765193153,30.06055187735369
B,38.0068110766198,3.415741111787054,Y,36.328300671752714,2.5224319545879506,17.989380160775582,24.012212140482703,23.31198776226294,7.557241264245878,30.11836305922426
C,66.38302879172463,3.961360142149016,X,38.052929259233636,1.1783429359502455,13.582186480847835,19.11759043490656,28.604334614459088,12.87113432600092,35.33627363203337
C,55.24047065473748,4.070835520218461,Y,26.546584366452397,3.241366377834015,11.132386413805692,17.8393524695947,26.35857897096475,7.396463065575941,23.46166227621185
A,41.4121911374419,4.262584806529165,Y,35.03903464628266,3.0136181039095864,15.711774344026864,15.969936635485801,22.783190657915796,14.546699205049968,23.44464410659303
A,67.54600774604776,3.953760786925903,Y,27.820661934717887,3.930906005522003,12.830235455588678,20.74151343149238,21.180281933070578,5.859454069862034,36.80484969966118
A,57.68020614189186,5.574905209483012,X,23.348831847899383,3.137394210109342,18.95522028212942,17.345161731279838,26.983821019337125,7.7944899565519385,30.73426511121803
C,55.51818850520935,2.631130141537239,Y,20.943838042019465,3.171027304373559,13.385856285337013,15.374506648365767,25.29156519581683,11.296800967402636,33.76625798477053
A,48.67279297682692,7.954778110203436,Y,33.9373135854849,4.4375975746419964,17.457823740248507,20.11212318723357,23.25114167394527,7.532298559565016,39.83909564580519
B,45.803894031191625,6.00811953821974,Y,33.21235148796908,2.555154568785268,15.737526226785945,15.447412058741548,28.04116358563693,8.047075681394883,21.65462581234205
C,56.35071490901558,4.12959842129031,X,28.59631575561168,2.103184217578778,19.53099821751265,19.031518619096378,22.691022767707608,6.488604214360931,38.74094240839577
A,38.07135971101407,6.158582267734232,X,26.16458197387134,2.432775220562936,12.307475213796753,21.924463957980358,28.254404699858785,9.287750718359508,29.398099385704302
B,47.49575234251239,3.2112721638319504,X,29.554625359487364,1.9172028176603682,13.651752007325172,22.180393026367227,21.2135083271888,9.95619238363317,23.6096153388307
A,43.56362785929453,7.719744838437135,Y,31.074216670237075,3.1832558359556615,17.182601800816663,18.125542841039536,22.70023173666231,10.917094059440053,33.85714184671144
C,60.04923351852428,1.1523310703185485,Y,36.78092882633588,5.9043049547288735,16.434448391968317,15.901101554715638,21.91617069993808,12.547434195635194,34.75998589380252
B,54.822893107789994,4.947207673132896,X,30.680727105943337,3.053895800435861,13.119682247988576,21.405765435993068,26.946350795471425,9.992514692137856,30.747397689463465
A,56.878149749791774,4.404248391215277,X,29.06381817085041,2.836589822368066,15.055223864029836,19.807184837977445,25.989600954723343,9.38681848317612,34.476512904393466
B,43.154135081133724,3.9251826549894515,Y,31.52942984845253,2.493130435056158,15.521693481069857,15.904471414180666,23.711905894687355,12.742337879996253,21.152135453853088
B,55.43140194231495,3.1669280853709263,Y,23.294512368838607,4.685898404933485,15.070772705367986,15.424177032381767,25.908803203628374,14.939019325825356,30.1248428805364
C,45.20524776687091,3.0287055690999525,X,25.646654406279875,3.8598410754194776,13.860784863647288,18.733412485327925,29.542305470117903,11.064021606745406,30.74331356813805
C,15.321093945573175,4.7977439450281905,Y,27.675820844313815,3.249891514933652,14.109342793920003,24.4774936028336,28.23495232972064,7.377661218931789,20.545789340941923
B,40.21790217963533,4.462664251594994,X,35.85374851062396,3.3089121130806216,19.212896443068086,17.13418666860867,22.11562898403854,9.560476955391353,26.24683829466581
A,52.43634223760973,5.2571270445149665,X,31.75107127468627,3.752246477462989,17.578827128610357,19.89109308496193,21.649833413845375,7.84626396365296,22.125362534921273
B,62.96073215163106,1.0653390768439013,X,26.942425640433466,4.414228433621253,18.779998712486215,15.655148285722774,20.37890576660314,10.44151033750036,25.799993927575105
A,53.784935763436515,5.2313552890489605,Y,26.111143494020844,2.739718219163837,12.055130965870058,17.68791670813816,20.308074378128673,6.113649200314352,33.71382809864901
C,61.31008080746261,8.736536752457166,Y,31.11069022043817,3.6498473160220737,19.07403850045008,19.678450781094075,23.033314034377476,5.736598329016597,43.895411056939395
A,62.33941827032355,3.924286799112629,X,26.826904043619663,3.1890109467490775,18.545690623795426,15.446076718415355,24.40457327286892,8.478690017062565,31.764747793129246
B,44.53047610662099,2.5395456966761047,Y,37.992204617163125,3.0024532786355405,13.778632721447407,16.510674414581164,29.67456938934034,14.63405658972768,23.74351120090605
C,67.03476727050975,6.914566058200023,X,27.808402820591063,0.42924676022954333,16.25443657544106,21.419106606563435,27.123643771046417,8.925279720139903,24.019120645587847
B,56.964461626205754,8.497491932047332,X,25.628075134095372,3.0258100588245154,15.90436278027177,16.64975768291012,23.09014946423258,11.651799921890635,28.668613891738016
B,64.94828405066063,5.249335595091223,X,29.082919469743683,3.251727684643599,16.091379966963867,20.64632735638095,29.69881111724257,10.031780463638626,32.99903039801771
A,43.57972428104673,7.7761685389322786,X,36.671981406830525,4.070650231719339,14.71936654929832,20.69201854308825,22.772814356799195,8.481571071497642,19.669946363888165
C,34.35452447620374,3.574015645522695,X,32.46041504635084,3.0835595086278076,16.616355161578916,22.421365277594976,24.141873080699554,8.138948241442854,33.07719728225031
C,53.150705348855894,4.549878166058522,Y,35.50943937332735,1.6985896494842938,11.3222262270922,19.87317533758025,24.392015903451956,6.381669896480146,39.92762577139253
A,40.81725613000592,3.9118642891979043,X,24.683028884563168,1.8199018913261578,15.945003791740946,18.424045558881073,28.273495257799805,6.136642120163969,15.070204035677301
A,43.57940471779468,8.074804214541999,Y,33.989412767370425,3.068372467620688,19.723310049609662,21.178867806381128,25.31685761128528,14.965936830676608,26.305921764099587
A,58.52243622040869,4.558851085607682,Y,28.431290401723178,1.9895966951653967,17.842306902465527,19.76401948502954,27.29547651920155,5.905616307755086,38.02593894071204
C,47.003394973192975,7.016534201957262,X,38.390765004477906,3.795109415563553,13.102530113289934,23.44836912707415,29.465512610649668,5.8406682366491305,27.481640617758284
A,41.86728360601697,6.0727379727102075,X,28.719220285211833,2.264883086662623,10.40523901882067,20.459618204446112,20.25985450377742,13.590741065893027,27.99869467316384
B,54.20165960978727,8.34706760516424,Y,24.298832359440443,2.101513116032987,14.101679992448881,21.84441488448818,28.349480086910397,7.787553445847663,24.25360922761122
A,45.107118734601414,2.5127387501570975,X,22.030946352702596,4.307904962997545,13.399527454616615,20.45307766899964,21.59416175989402,11.62266597007888,26.326634980035013
C,45.29065604545577,5.206301464642052,X,35.16703185727324,2.9828094427097525,11.562289132477282,16.780463778540145,26.79079442421773,13.178711389380108,24.42268932892598
C,59.93026442607176,3.776097155834038,Y,23.052448966837666,2.5157999059660363,17.153652657814128,22.21709339341256,25.002701617447123,10.132730485792376,40.02495293801121
A,35.22738439535176,5.8079505153227835,Y,35.79696173031206,0.879178547857093,10.337545355957698,24.853532764408172,22.70616320450681,10.736548836111725,23.13471871851278
B,43.22797114828447,3.9078953965610164,X,30.8006967443316,2.810404430682411,17.223978474530224,15.08372136004584,26.711773732779164,8.322038271982363,24.909436234626796
B,53.98596299263477,0.6312882863457299,X,30.57678048057806,4.358217985215475,18.34187219722538,15.563396433605988,28.289852886293993,9.613261051059801,29.01682019660083
C,62.41456612744382,5.702640449639688,Y,34.65919052554201,2.671314300541423,16.134632419033945,21.382455589045684,25.971717894741463,11.994212925829315,31.425522687291263
B,51.523888417435025,6.422298356921273,X,28.801691108233683,2.5749004369716086,19.946208110403212,15.766635118687422,27.15262405628245,9.66297657768247,27.82868790869991
A,58.92274186530968,2.1783566404253283,Y,26.353835541905312,1.6902721424049527,12.370215961908766,18.436936710106806,20.368376700318166,9.587146394920662,33.325286335963824
B,29.887327032568134,3.3876036769473856,Y,25.14707466668168,2.8942085500800285,11.057549573759433,22.42166484714181,29.335391446279566,11.518740868888688,21.363216225924376
B,76.43613216754157,4.837975519819179,Y,33.22578717224591,2.4302745033712823,15.396361398368358,19.827084512682575,27.625078554159632,9.201348425774507,40.27021539268201
C,58.732619026224455,5.25533989344964,X,27.522301980386754,2.7331914894108746,13.787153106177303,18.342449238876416,29.130728878548183,5.870575683854009,39.75469035058075
B,47.224344703679286,3.837934252495935,X,24.03903443817205,3.584116616685474,11.384829444993645,24.918550983477935,25.124470368031417,12.226868937092483,34.3580799632207
C,55.00265171969161,5.736220219068755,X,30.651997555006176,3.114963417545509,18.25336874430088,18.825386524885786,21.152115715913418,10.950865224313665,23.916723821202265
A,49.9505523391839,3.8775415281344348,Y,25.760723659692662,2.6583849086399374,15.817095775071582,24.19717378146445,24.067693168992427,14.592757188223107,23.64557632545015
C,50.00011674569992,2.5806843655615395,Y,28.228950430535715,2.5828171651761633,11.879166548245353,15.20959453608479,27.146330434067938,7.23892157345155,33.54750044604765
C,49.15268364016395,5.614626379882322,X,21.938863783523395,2.225076567885173,11.038384766681439,18.144146369697975,20.985026371208292,9.379911701775741,18.37229342807849
B,47.89677557638541,6.567793972077071,Y,24.806332084182138,1.7318353897789107,14.203394837838195,23.781996519339536,29.34672771241195,10.431456178037502,18.4414503554005
